alb /ælb/
algicide /ˈældʒɪsaɪd/
alienate /ˈeɪliəneɪt/
alkaline /ˈælkəlaɪn/
alkaloid /ˈælkəlɔɪd/
allegory /ˈæləɡəri/
alleluia /ˌælɪˈluːjə/
allergen /ˈælədʒən/
allergic /əˈlɜːdʒɪk/
alliance /əˈlaɪəns/
allocate /ˈæləkeɪt/
allspice /ˈɔːlspaɪs/
alluring /əˈlʊərɪŋ/
allusion /əˈluːʒn/
allusive /əˈluːsɪv/
alluvial /əˈluːviəl/
alluvium /əˈluːviəm/
almighty /ɔːlˈmaɪti/
alopecia /ˌæləˈpiːʃə/
alphabet /ˈælfəbet/
alpinism /ˈælpɪnɪzəm/
alpinist /ˈælpɪnɪst/
ALSATIAN
although /ɔːlˈðəʊ/
altitude /ˈæltɪtjuːd/
altruism /ˈæltruɪzəm/
alveolar /ælˈviːələ(r)/
alveolus /ælˈviːələs/
alabaster /ˈæləbɑːstə(r)/
albatross /ˈælbətrɒs/
alchemist /ˈælkəmɪst/
alcoholic /ˌælkəˈhɒlɪk/
alertness /əˈlɜːtnəs/
algebraic /ˌældʒɪˈbreɪɪk/
algorithm /ˈælɡərɪðəm/
alienable /ˈeɪliənəbl/
alignment /əˈlaɪnmənt/
allegedly /əˈledʒɪdli/
alleviate /əˈliːvieɪt/
alligator /ˈælɪɡeɪtə(r)/
allomorph /ˈæləmɔːf/
allophone /ˈæləfəʊn/
allotment /əˈlɒtmənt/
allotrope /ˈælətrəʊp/
allotropy /əˈlɒtrəpi/
allowable /əˈlaʊəbl/
allowance /əˈlaʊəns/
almshouse /ˈɑːmzhaʊs/
alongside /əˌlɒŋˈsaɪd/
aloofness /əˈluːfnəs/
alpenhorn /ˈælpənhɔːn/
alterable /ˈɔːltərəbl/
alternate /ɔːlˈtɜːnət/
altimeter /ˈæltɪmiːtə(r)/
aluminium /ˌæljəˈmɪniəm/
alarmingly /əˈlɑːmɪŋli/
alcheringa /ˌæltʃəˈrɪŋɡə/
alcoholism /ˈælkəhɒlɪzəm/
ALGONQUIAN
alienation /ˌeɪliəˈneɪʃn/
alkalinity /ˌælkəˈlɪnəti/
allegation /ˌæləˈɡeɪʃn/
allegiance /əˈliːdʒəns/
allocation /ˌæləˈkeɪʃn/
allosaurus /ˌæləˈsɔːrəs/
alluringly /əˈlʊərɪŋli/
alphabetic /ˌælfəˈbetɪk/
altarpiece /ˈɔːltəpiːs/
alteration /ˌɔːltəˈreɪʃn/
alternator /ˈɔːltəneɪtə(r)/
altogether /ˌɔːltəˈɡeðə(r)/
altruistic /ˌæltruˈɪstɪk/
ALBUQUERQUE
alexandrine /ˌælɪɡˈzɑːndrɪn/
allegorical /ˌæləˈɡɒrɪkl/
alleviation /əˌliːviˈeɪʃn/
alphabetize /ˈælfəbətaɪz/
altercation /ˌɔːltəˈkeɪʃn/
alternately /ɔːlˈtɜːnətli/
alternation /ˌɔːltəˈneɪʃn/
alternative /ɔːlˈtɜːnətɪv/
altocumulus /ˌæltəʊˈkjuːmjʊləs/
altostratus /ˌæltəʊˈstrɑːtəs/
alliteration /əˌlɪtəˈreɪʃn/
alliterative /əˈlɪtrətɪv/
alphabetical /ˌælfəˈbetɪkl/
alphanumeric /ˌælfənjuːˈmerɪk/
allegorically /ˌæləˈɡɒrɪkli/
allochthonous /əˈlɒkθənəs/
alternatively /ɔːlˈtɜːnətɪvli/
alphabetically /ˌælfəˈbetɪkli/
